transaction_id,cashier_id,terminal_id,item_id,member_id,transaction_datetime,income_expense,payment_method,transaction_type,amount_tnd
1,5,2,,18.0,2024-04-30 20:28:15,Income,Cash,Member Transactions,"6,51"
2,4,13,,,2024-05-01 10:39:26,Income,Cash,Computer Incomes,"9,24"
3,3,15,,42.0,2024-05-01 11:12:23,Income,Cash,Member Transactions,"29,79"
4,4,14,,14.0,2024-05-01 15:43:33,Income,Credit Card,Member Transactions,"13,05"
5,1,15,,,2024-05-01 18:30:00,Income,Cash,Computer Incomes,"5,83"
6,1,16,,,2024-05-01 18:31:54,Income,Cash,Computer Incomes,"34,24"
7,5,23,,,2024-05-01 19:55:23,Income,Cash,Playstation Incomes,"6,16"
8,3,10,,,2024-05-01 20:32:20,Income,Cash,Computer Incomes,"16,78"
9,1,10,,51.0,2024-05-01 22:55:50,Income,Cash,Member Transactions,"13,36"
10,1,5,36.0,,2024-05-02 09:07:58,Income,Cash,Order Incomes,"19,83"
11,4,14,,3.0,2024-05-02 09:13:56,Income,Credit Card,Member Transactions,"13,33"
12,4,2,43.0,,2024-05-02 09:20:02,Income,Credit Card,Order Incomes,"17,23"
13,2,5,,,2024-05-02 09:20:24,Income,Cash,Computer Incomes,"12,67"
14,3,1,34.0,,2024-05-02 11:51:32,Income,Cash,Order Incomes,"18,53"
15,3,23,,,2024-05-02 11:57:09,Income,Cash,Playstation Incomes,"5,85"
16,5,23,,,2024-05-02 12:18:27,Income,Cash,Playstation Incomes,"4,23"
17,1,13,,,2024-05-02 12:48:24,Income,Cash,Computer Incomes,"20,16"
18,5,12,,,2024-05-02 13:59:56,Income,Cash,Computer Incomes,"24,71"
19,3,23,,,2024-05-02 15:49:38,Income,Cash,Playstation Incomes,"3,57"
20,5,9,,,2024-05-02 15:58:32,Income,Cash,Computer Incomes,"5,21"
21,5,24,,,2024-05-02 16:07:53,Income,Cash,Playstation Incomes,"17,87"
22,2,24,,,2024-05-02 16:39:52,Income,Cash,Playstation Incomes,"12,35"
23,1,2,,,2024-05-02 17:12:57,Income,Cash,Computer Incomes,"17,88"
24,2,9,,,2024-05-02 17:37:29,Income,Cash,Computer Incomes,"9,43"
25,1,13,,,2024-05-02 18:35:00,Income,Cash,Computer Incomes,"18,52"
26,5,6,,,2024-05-02 19:00:24,Income,Cash,Computer Incomes,"14,63"
27,5,16,,,2024-05-02 20:37:53,Income,Cash,Computer Incomes,"17,88"
28,4,10,,,2024-05-02 20:49:00,Income,Cash,Computer Incomes,"28,94"
29,5,5,,,2024-05-02 21:14:27,Income,Cash,Computer Incomes,"18,52"
30,5,10,,,2024-05-02 22:34:08,Income,Cash,Computer Incomes,"8,46"
31,3,12,35.0,,2024-05-02 23:32:34,Income,Cash,Order Incomes,"12,03"
32,4,24,,,2024-05-02 23:39:45,Income,Credit Card,Playstation Incomes,"4,55"
33,1,4,,,2024-05-03 09:11:37,Income,Cash,Computer Incomes,"11,63"
34,1,11,,,2024-05-03 09:21:12,Income,Cash,Computer Incomes,"16,66"
35,1,6,4.0,,2024-05-03 09:45:25,Income,Cash,Order Incomes,"11,62"
36,4,15,40.0,,2024-05-03 09:47:51,Income,Cash,Order Incomes,"4,51"
37,5,24,,,2024-05-03 10:09:06,Income,Credit Card,Playstation Incomes,"7,80"
38,5,3,,,2024-05-03 10:58:44,Income,Cash,Computer Incomes,"14,41"
39,3,3,,,2024-05-03 11:15:01,Income,Cash,Computer Incomes,"3,82"
40,5,11,,,2024-05-03 12:11:12,Income,Credit Card,Computer Incomes,"2,09"
41,5,2,,36.0,2024-05-03 12:37:43,Income,Cash,Member Transactions,"6,76"
42,5,23,,,2024-05-03 12:40:54,Income,Cash,Playstation Incomes,"12,32"
43,2,15,,,2024-05-03 12:57:05,Income,Cash,Computer Incomes,"3,64"
44,2,12,,,2024-05-03 13:31:44,Income,Cash,Computer Incomes,"4,17"
45,4,12,,,2024-05-03 13:33:16,Income,Cash,Computer Incomes,"2,60"
46,3,23,,,2024-05-03 13:52:13,Income,Cash,Playstation Incomes,"10,06"
47,5,23,,,2024-05-03 14:17:15,Income,Credit Card,Playstation Incomes,"9,19"
48,1,2,,26.0,2024-05-03 14:27:37,Income,Credit Card,Member Transactions,"9,03"
49,3,5,,,2024-05-03 15:06:58,Income,Cash,Computer Incomes,"7,29"
50,5,11,,,2024-05-03 15:25:59,Income,Cash,Computer Incomes,"8,51"
51,5,3,,,2024-05-03 15:31:42,Income,Cash,Computer Incomes,"4,34"
52,1,1,,,2024-05-03 15:51:37,Income,Cash,Computer Incomes,"15,45"
53,2,2,,,2024-05-03 16:01:11,Income,Cash,Computer Incomes,"12,67"
54,4,24,,,2024-05-03 16:32:33,Income,Cash,Playstation Incomes,"15,96"
55,4,24,,,2024-05-03 16:45:30,Income,Cash,Playstation Incomes,"12,66"
56,3,4,,,2024-05-03 16:49:57,Income,Cash,Computer Incomes,"17,36"
57,3,10,27.0,,2024-05-03 16:58:24,Income,Cash,Order Incomes,"2,77"
58,5,8,,,2024-05-03 17:32:44,Income,Cash,Computer Incomes,"5,90"
59,3,8,,,2024-05-03 17:39:11,Income,Cash,Computer Incomes,"15,09"
60,5,12,,,2024-05-03 18:04:49,Income,Cash,Computer Incomes,"14,06"
61,3,16,,,2024-05-03 18:30:02,Income,Cash,Computer Incomes,"11,81"
