session_id,cashier_id,terminal_id,member_id,session_type,duration_min,order_transfer,usage,discount,total
11243,5,6,,Free,32,1.54,4.22,0.0,5.76
11244,2,16,50.0,Member,131,3.74,10.39,0.0,14.13
11245,2,9,,Standard,117,0.64,11.52,0.0,12.16
11246,3,13,,Standard,103,5.67,7.88,0.48,13.07
11247,5,5,,Standard,81,5.73,12.85,0.0,18.58
11248,1,6,,Standard,85,0.36,12.46,0.0,12.82
11249,5,16,,Standard,43,6.67,6.31,0.0,12.98
11250,3,5,9.0,Member,162,2.25,25.62,0.0,27.87
11251,2,7,,Standard,122,4.37,14.18,0.0,18.55
11252,2,5,,Standard,70,0.99,5.8,0.0,6.79
11253,2,9,,Standard,66,6.88,9.14,0.0,16.02
11254,1,6,,Standard,101,3.25,14.67,0.0,17.92
11255,4,11,,Administrator,27,7.38,1.8,0.0,9.18
11256,2,10,21.0,Member,83,1.7,9.72,0.0,11.42
11257,5,9,,Time Limited,79,4.5,6.45,0.0,10.95
11258,1,6,,Standard,107,0.69,16.65,0.0,17.34
11259,3,11,33.0,Member,117,4.16,14.1,0.0,18.26
11260,2,6,9.0,Member,135,6.31,10.59,0.79,16.11
11261,3,10,50.0,Member,101,7.1,15.42,0.0,22.52
11262,1,15,,Time Limited,76,3.76,5.16,0.59,8.33
11263,3,9,39.0,Member,171,0.01,21.39,0.0,21.4
11264,2,10,44.0,Member,116,6.92,7.71,0.0,14.63
11265,4,4,,Free,58,7.11,4.13,0.25,10.99
11266,5,14,,Standard,72,3.16,6.01,0.0,9.17
11267,4,10,,Standard,107,5.06,14.39,0.0,19.45
11268,5,6,,Standard,34,5.87,4.61,0.0,10.48
11269,4,2,4.0,Member,161,2.15,24.87,0.0,27.02
11270,5,14,6.0,Member,64,5.33,5.29,1.21,9.41
11271,1,7,,Time Limited,54,2.04,5.95,0.0,7.99
11272,5,12,,Standard,51,5.87,7.89,0.98,12.78
11273,2,2,32.0,Member,105,1.31,7.44,0.83,7.92
11274,1,4,,Time Limited,73,7.59,4.55,0.4,11.74
11275,1,6,,Time Limited,40,4.91,3.43,0.0,8.34
11276,1,4,,Free,23,0.62,3.25,1.71,2.16
11277,5,16,,Standard,104,6.61,13.83,0.0,20.44
11278,1,16,,Standard,69,6.98,6.1,0.0,13.08
11279,4,14,,Standard,67,3.78,6.27,0.0,10.05
11280,1,5,,Administrator,45,7.69,4.86,0.0,12.55
11281,5,15,,Administrator,27,5.85,3.0,0.0,8.85
11282,4,3,60.0,Member,119,5.72,12.18,0.0,17.9
11283,3,11,,Standard,65,4.2,9.99,0.0,14.19
11284,1,8,,Standard,108,5.32,13.39,0.0,18.71
11285,3,5,,Standard,122,1.53,7.63,0.0,9.16
11286,2,6,,Standard,35,4.32,2.59,1.9,5.01
11287,5,5,,Administrator,44,6.7,3.32,0.0,10.02
11288,4,14,,Standard,94,3.97,9.51,0.0,13.48
11289,5,3,6.0,Member,164,4.83,22.15,0.0,26.98
11290,5,2,17.0,Member,150,6.15,20.31,2.91,23.55
11291,3,16,,Administrator,11,1.82,0.98,0.67,2.13
11292,4,9,,Standard,150,6.25,12.96,0.0,19.21
11293,1,6,,Standard,56,2.41,5.42,0.0,7.83
11294,5,16,,Free,31,1.19,3.01,0.0,4.2
11295,2,11,,Free,45,3.1,3.4,0.0,6.5
